,target_loc,Coordinates,latitude,longitude
3420,"Manatee, Florida","(27.5213933, -82.3801566)",27.5213933,-82.3801566
3421,"Delray Beach, Florida","(26.4614625, -80.0728201)",26.4614625,-80.0728201
3422,"St. Petersburg, Florida","(27.7703796, -82.6695085)",27.7703796,-82.6695085
3423,"Lake Alfred, Florida","(28.091963, -81.7234114)",28.091963,-81.7234114
3424,"St. Lucie, Florida","(27.3900897, -80.457904)",27.3900897,-80.457904
3425,"Venice, Florida","(27.0999188, -82.4543597)",27.0999188,-82.4543597
3426,"Ponce Inlet, Florida","(29.0963729, -80.9369983)",29.0963729,-80.9369983
3427,"Villa Rica, Georgia","(33.732052, -84.9191081)",33.732052,-84.9191081
3428,"Kennesaw State University, Georgia","(34.0389231, -84.58318158156497)",34.0389231,-84.58318158
3429,"Conyers, Georgia","(33.6676103, -84.0176904)",33.6676103,-84.0176904
3430,"Waterloo, Iowa","(42.4979693, -92.3329637)",42.4979693,-92.3329637
3431,"Ida, Iowa","(42.3788371, -95.4949407)",42.3788371,-95.4949407
3432,"Mills, Iowa","(41.0171392, -95.6087477)",41.0171392,-95.6087477
3433,"Scott, Iowa","(41.6251843, -90.6164201)",41.6251843,-90.6164201
3434,"Ames, Iowa","(42.0267703, -93.6170554)",42.0267703,-93.6170554
3435,"Indianola, Iowa","(41.3605271, -93.5599632)",41.3605271,-93.5599632
3436,"Chubbuck, Idaho","(42.92765095, -112.47315011566246)",42.92765095,-112.4731501
3437,"Montpelier, Idaho","(42.3221498, -111.2977044)",42.3221498,-111.2977044
3438,"Caldwell, Idaho","(43.6678736, -116.6894156)",43.6678736,-116.6894156
3439,"Cassia, Idaho","(42.2219306, -113.5777087)",42.2219306,-113.5777087
3440,"Cook, Illinois","(41.8197385, -87.756525)",41.8197385,-87.756525
3441,"Bartlett, Illinois","(41.9908485, -88.1850028)",41.9908485,-88.1850028
3442,"Berwyn, Illinois","(41.8505874, -87.7936685)",41.8505874,-87.7936685
3443,"Harvey, Illinois","(41.6100344, -87.6467132)",41.6100344,-87.6467132
3444,"Cumberland, Illinois","(39.2744299, -88.2423795)",39.2744299,-88.2423795
3445,"Douglas, Illinois","(39.7628415, -88.2170516)",39.7628415,-88.2170516
3446,"Jackson, Illinois","(37.7668943, -89.3563845)",37.7668943,-89.3563845
3447,"St. Charles, Illinois","(41.9139808, -88.3128183)",41.9139808,-88.3128183
3448,"Dixon, Illinois","(41.8425197, -89.4814291)",41.8425197,-89.4814291
3449,"McLean, Illinois","(40.4631789, -88.8196613)",40.4631789,-88.8196613
3450,"Irving, Illinois","(39.2058801, -89.4045304)",39.2058801,-89.4045304
3451,"Oregon, Illinois","(42.0147513, -89.3323279)",42.0147513,-89.3323279
3452,"Chester, Illinois","(37.9136628, -89.8220505)",37.9136628,-89.8220505
3453,"Morton, Illinois","(40.6127349, -89.459323)",40.6127349,-89.459323
3454,"Sterling, Illinois","(41.788642, -89.6962194)",41.788642,-89.6962194
3455,"Mokena, Illinois","(41.5261437, -87.8892189)",41.5261437,-87.8892189
3456,"Roscoe, Illinois","(42.4133505, -89.0092742)",42.4133505,-89.0092742
3457,"Ball State University, Indiana","(40.2097841, -85.41120340053953)",40.2097841,-85.4112034
3458,"South Bend, Indiana","(41.6833813, -86.2500066)",41.6833813,-86.2500066
3459,"State Police:, Indiana","(39.0560491, -86.07136270077206)",39.0560491,-86.0713627
3460,"Protection, Kansas","(37.2014145, -99.4840075)",37.2014145,-99.4840075
3461,"Arkansas City, Kansas","(37.0622562, -97.0388338)",37.0622562,-97.0388338
3462,"Douglas, Kansas","(38.8838392, -95.2874559)",38.8838392,-95.2874559
3463,"Ellis, Kansas","(38.9206744, -99.3267086)",38.9206744,-99.3267086
3464,"Greenwood, Kansas","(37.8709542, -96.2471338)",37.8709542,-96.2471338
3465,"Lenexa, Kansas","(38.9697458, -94.7845837)",38.9697458,-94.7845837
3466,"Gardner, Kansas","(38.8109254, -94.9272958)",38.8109254,-94.9272958
3467,"Moundridge, Kansas","(38.203065, -97.519207)",38.203065,-97.519207
3468,"Marshall, Kansas","(39.7865054, -96.5255661)",39.7865054,-96.5255661
3469,"Larned, Kansas","(38.1805693, -99.098713)",38.1805693,-99.098713
3470,"Belleville, Kansas","(39.8246673, -97.6325554)",39.8246673,-97.6325554
3471,"Cheney, Kansas","(37.6300316, -97.7826841)",37.6300316,-97.7826841
3472,"Unified School District:, Kansas","(39.115769, -95.0889525)",39.115769,-95.0889525
3473,"Mulvane, Kansas","(37.485081, -97.24502856790883)",37.485081,-97.24502857
3474,"Hillview, Kentucky","(38.0697889, -85.6855146)",38.0697889,-85.6855146
3475,"Carrollton, Kentucky","(38.6808958, -85.1793979)",38.6808958,-85.1793979
3476,"Clay, Kentucky","(37.4767119, -87.8200159)",37.4767119,-87.8200159
3477,"Burkesville, Kentucky","(36.7903399, -85.3705186)",36.7903399,-85.3705186
3478,"Ravenna, Kentucky","(37.6845272, -83.9529791)",37.6845272,-83.9529791
3479,"Graves, Kentucky","(36.7244966, -88.6569094)",36.7244966,-88.6569094
3480,"Henderson, Kentucky","(37.8367513, -87.5907631)",37.8367513,-87.5907631
3481,"Knott, Kentucky","(37.3521946, -82.9314574)",37.3521946,-82.9314574
3482,"Russellville, Kentucky","(36.8453199, -86.887219)",36.8453199,-86.887219
3483,"Lyon, Kentucky","(36.9981232, -88.0658149)",36.9981232,-88.0658149
3484,"Montgomery County School District, Kentucky","(38.991455, -77.089469)",38.991455,-77.089469
3485,"Carlisle, Kentucky","(38.3120197, -84.027427)",38.3120197,-84.027427
3486,"Perry, Kentucky","(37.2203608, -83.1640699)",37.2203608,-83.1640699
3487,"Hazard, Kentucky","(37.24954, -83.1932284)",37.24954,-83.1932284
3488,"Elkton, Kentucky","(36.8100425, -87.1541675)",36.8100425,-87.1541675
3489,"Trigg, Kentucky","(36.7949221, -87.8782433)",36.7949221,-87.8782433
3490,"Cadiz, Kentucky","(36.8650496, -87.835295)",36.8650496,-87.835295
3491,"Corbin, Kentucky","(36.9486986, -84.0968761)",36.9486986,-84.0968761
3492,"Westlake, Louisiana","(30.2421496, -93.2507099)",30.2421496,-93.2507099
3493,"Jefferson, Louisiana","(29.9660371, -90.1531298)",29.9660371,-90.1531298
3494,"University of New Orleans, Louisiana","(30.028179100000003, -90.06662538008393)",30.0281791,-90.06662538
3495,"Fall River, Massachusetts","(41.7010642, -71.1546367)",41.7010642,-71.1546367
3496,"Peabody, Massachusetts","(42.5278731, -70.9286609)",42.5278731,-70.9286609
3497,"Swampscott, Massachusetts","(42.4699241, -70.9171507)",42.4699241,-70.9171507
3498,"West Springfield, Massachusetts","(42.105237, -72.6213712)",42.105237,-72.6213712
3499,"Medford, Massachusetts","(42.4184296, -71.1061639)",42.4184296,-71.1061639
3500,"Reading, Massachusetts","(42.5256502, -71.0953314)",42.5256502,-71.0953314
3501,"Watertown, Massachusetts","(42.3709299, -71.1828321)",42.3709299,-71.1828321
3502,"Boston College, Massachusetts","(42.3354481, -71.16813864023061)",42.3354481,-71.16813864
3503,"Dover, Massachusetts","(42.2459311, -71.2828342)",42.2459311,-71.2828342
3504,"Dean College, Massachusetts","(42.084653149999994, -71.39983777231043)",42.08465315,-71.39983777
3505,"Middleboro, Massachusetts","(41.8931576, -70.9111517)",41.8931576,-70.9111517
3506,"Bridgewater State University, Massachusetts","(41.98828880000001, -70.9635798919176)",41.9882888,-70.96357989
3507,"Lunenburg, Massachusetts","(42.5901604, -71.7153831)",42.5901604,-71.7153831
3508,"Shrewsbury, Massachusetts","(42.283828, -71.7172866)",42.283828,-71.7172866
3509,"West Boylston, Massachusetts","(42.3678171, -71.7862707)",42.3678171,-71.7862707
3510,"Westborough, Massachusetts","(42.2694308, -71.6129907)",42.2694308,-71.6129907
3511,"State Fire Marshal, Maryland","(39.2914524, -76.6095101)",39.2914524,-76.6095101
3512,"Garrett, Maryland","(39.544087, -79.2496976)",39.544087,-79.2496976
3513,"Aberdeen, Maryland","(39.5095556, -76.1641197)",39.5095556,-76.1641197
3514,"Howard County Police Department, Maryland","(None, None)",,
3515,"Greenbelt, Maryland","(38.9937333, -76.883065797021)",38.9937333,-76.8830658
3516,"St. Mary's College, Maryland","(9.7838125, 76.7430308)",9.7838125,76.7430308
3517,"Cape Elizabeth, Maine","(43.5931434, -70.2289333)",43.5931434,-70.2289333
3518,"Scarborough, Maine","(43.5902122, -70.3392584)",43.5902122,-70.3392584
3519,"Ellsworth, Maine","(44.5434831, -68.4201819)",44.5434831,-68.4201819
3520,"Wiscasset, Maine","(44.003187, -69.66568)",44.003187,-69.66568
3521,"Waldo, Maine","(44.5125736, -69.0761484)",44.5125736,-69.0761484
3522,"Searsport, Maine","(44.4584089, -68.9241995)",44.4584089,-68.9241995
3523,"Machias, Maine","(44.715514, -67.461548)",44.715514,-67.461548
3524,"Essexville, Michigan","(43.6153, -83.841919)",43.6153,-83.841919
3525,"Ontwa Township-Edwardsburg, Michigan","(None, None)",,
3526,"Charlotte, Michigan","(42.5637369, -84.8355792)",42.5637369,-84.8355792
3527,"Burton, Michigan","(42.9897333, -83.6335032)",42.9897333,-83.6335032
3528,"Traverse City, Michigan","(44.7606441, -85.6165301)",44.7606441,-85.6165301
3529,"Harbor Beach, Michigan","(43.844737, -82.651319)",43.844737,-82.651319
3530,"Ingham, Michigan","(42.5860505, -84.3800841)",42.5860505,-84.3800841
3531,"Mount Pleasant, Michigan","(43.597646, -84.7668495)",43.597646,-84.7668495
3532,"East Grand Rapids, Michigan","(42.9412024, -85.6097309)",42.9412024,-85.6097309
3533,"Gerald R. Ford International Airport, Michigan","(42.876614700000005, -85.53488239724246)",42.8766147,-85.5348824
3534,"Madison Township, Michigan","(42.446876, -83.881043)",42.446876,-83.881043
3535,"Chocolay Township, Michigan","(46.463313400000004, -87.24068790666321)",46.4633134,-87.24068791
3536,"Fruitport Township, Michigan","(43.13067, -86.154682)",43.13067,-86.154682
3537,"Newaygo, Michigan","(43.5121225, -85.7944976)",43.5121225,-85.7944976
3538,"Franklin, Michigan","(42.5222567, -83.3060432)",42.5222567,-83.3060432
3539,"Lake Orion, Michigan","(42.7844752, -83.2396612)",42.7844752,-83.2396612
3540,"Otsego, Michigan","(45.0244123, -84.6136788)",45.0244123,-84.6136788
3541,"Gerrish Township, Michigan","(44.4828792, -84.67256519933093)",44.4828792,-84.6725652
3542,"Durand, Michigan","(42.9119885, -83.9846367)",42.9119885,-83.9846367
3543,"Milan, Michigan","(42.0848616, -83.6830279)",42.0848616,-83.6830279
3544,"Highland Park, Michigan","(42.4055981, -83.0965829)",42.4055981,-83.0965829
3545,"Sumpter Township, Michigan","(42.1311628, -83.481433)",42.1311628,-83.481433
3546,"Brownstown Township, Michigan","(42.055488999999994, -83.18529538702715)",42.055489,-83.18529539
3547,"Columbia Heights, Minnesota","(45.0460458, -93.2517802)",45.0460458,-93.2517802
3548,"Spring Lake Park, Minnesota","(45.1154274, -93.2492872)",45.1154274,-93.2492872
3549,"Chaska, Minnesota","(44.7894072, -93.6021791)",44.7894072,-93.6021791
3550,"Crosby, Minnesota","(46.4821848, -93.9577612)",46.4821848,-93.9577612
3551,"West St. Paul, Minnesota","(44.9101545, -93.0802073)",44.9101545,-93.0802073
3552,"Hennepin, Minnesota","(45.0257232, -93.4865052)",45.0257232,-93.4865052
3553,"St. Anthony, Minnesota","(45.0283001, -93.2187368)",45.0283001,-93.2187368
3554,"Marshall, Minnesota","(48.3605336, -96.381968)",48.3605336,-96.381968
3555,"Mahnomen, Minnesota","(47.3313602, -95.8142911)",47.3313602,-95.8142911
3556,"Shoreview, Minnesota","(45.0722056, -93.1282878)",45.0722056,-93.1282878
3557,"Rice, Minnesota","(44.3413376, -93.2865484)",44.3413376,-93.2865484
3558,"Faribault, Minnesota","(43.6647961, -93.9510501)",43.6647961,-93.9510501
3559,"Waite Park, Minnesota","(45.5537128, -94.2334634)",45.5537128,-94.2334634
3560,"Wadena, Minnesota","(46.5850936, -94.9606684)",46.5850936,-94.9606684
3561,"Woodbury, Minnesota","(44.919896, -92.9339449)",44.919896,-92.9339449
3562,"Carroll, Missouri","(39.441912, -93.516971)",39.441912,-93.516971
3563,"DeKalb, Missouri","(39.885757, -94.4078109)",39.885757,-94.4078109
3564,"Henry, Missouri","(38.3791027, -93.8066565)",38.3791027,-93.8066565
3565,"Blue Springs, Missouri","(39.017316, -94.282265)",39.017316,-94.282265
3566,"Clayton, Missouri","(38.6504352, -90.3362473)",38.6504352,-90.3362473
3567,"University City, Missouri","(38.6569083, -90.3103443)",38.6569083,-90.3103443
3568,"Great Falls, Montana","(47.5048851, -111.29189)",47.5048851,-111.29189
3569,"Columbia Falls, Montana","(48.3697168, -114.191582)",48.3697168,-114.191582
3570,"Ronan City, Montana","(47.5288233, -114.101501)",47.5288233,-114.101501
3571,"Park, Montana","(45.5027347, -110.52981)",45.5027347,-110.52981
3572,"Hamilton, Montana","(46.2561815, -114.15464243514151)",46.2561815,-114.1546424
3573,"Sidney, Nebraska","(41.1448682, -102.9767382)",41.1448682,-102.9767382
3574,"Dawson, Nebraska","(40.8776438, -99.8505693)",40.8776438,-99.8505693
3575,"Gosper, Nebraska","(40.5145053, -99.8185651)",40.5145053,-99.8185651
3576,"Lancaster, Nebraska","(40.7768326, -96.7111039)",40.7768326,-96.7111039
3577,"Columbus, Nebraska","(41.4296258, -97.3684294)",41.4296258,-97.3684294
3578,"Lilesville, North Carolina","(34.9676535, -79.9845032)",34.9676535,-79.9845032
3579,"Leland, North Carolina","(34.2203056, -78.0335992)",34.2203056,-78.0335992
3580,"Concord, North Carolina","(35.4094178, -80.5800049)",35.4094178,-80.5800049
3581,"Siler City, North Carolina","(35.7234734, -79.4622431)",35.7234734,-79.4622431
3582,"Wake Forest University, North Carolina","(36.134335, -80.2781152)",36.134335,-80.2781152
3583,"Iredell, North Carolina","(33.9332275, -78.5911234)",33.9332275,-78.5911234
3584,"Huntersville, North Carolina","(35.4108278, -80.8429304)",35.4108278,-80.8429304
3585,"Greenville, North Carolina","(35.613224, -77.3724593)",35.613224,-77.3724593
3586,"East Carolina University, North Carolina","(35.63285115, -77.48526724763182)",35.63285115,-77.48526725
3587,"Surry, North Carolina","(36.4135582, -80.7013751)",36.4135582,-80.7013751
3588,"Swain, North Carolina","(35.8361447, -79.0555251)",35.8361447,-79.0555251
3589,"Valley City, North Dakota","(46.923313, -98.003155)",46.923313,-98.003155
3590,"Cass, North Dakota","(46.9241972, -97.220631)",46.9241972,-97.220631
3591,"Dunn, North Dakota","(47.30612, -102.6112348)",47.30612,-102.6112348
3592,"Carrington, North Dakota","(47.44972, -99.126224)",47.44972,-99.126224
3593,"Golden Valley, North Dakota","(46.9317944, -103.8668414)",46.9317944,-103.8668414
3594,"Grant, North Dakota","(46.3441037, -101.6261837)",46.3441037,-101.6261837
3595,"Mountrail, North Dakota","(48.230321, -102.3603325)",48.230321,-102.3603325
3596,"Williston, North Dakota","(48.1465457, -103.621814)",48.1465457,-103.621814
3597,"Keene, New Hampshire","(42.933597, -72.2784264)",42.933597,-72.2784264
3598,"Ashland, New Hampshire","(43.69568, -71.630859)",43.69568,-71.630859
3599,"Hanover, New Hampshire","(43.703622, -72.288666)",43.703622,-72.288666
3600,"Newbury, New Hampshire","(43.321681, -72.03598)",43.321681,-72.03598
3601,"Hampton Falls, New Hampshire","(42.9282364, -70.88807236558634)",42.9282364,-70.88807237
3602,"Plaistow, New Hampshire","(42.8640939, -71.11334952231226)",42.8640939,-71.11334952
3603,"Windham, New Hampshire","(42.8006441, -71.304229)",42.8006441,-71.304229
3604,"Closter, New Jersey","(40.9731536, -73.9615262)",40.9731536,-73.9615262
3605,"Fairview, New Jersey","(40.8126006, -73.999028)",40.8126006,-73.999028
3606,"Mahwah Township, New Jersey","(41.0942222, -74.1466219)",41.0942222,-74.1466219
3607,"Burlington Township, New Jersey","(40.072587, -74.88700755838619)",40.072587,-74.88700756
3608,"Cinnaminson Township, New Jersey","(40.0022415, -74.98820791702693)",40.0022415,-74.98820792
3609,"Medford Lakes, New Jersey","(39.8580015, -74.8128540463149)",39.8580015,-74.81285405
3610,"Caldwell, New Jersey","(40.8398218, -74.2765366)",40.8398218,-74.2765366
3611,"Irvington, New Jersey","(40.7323235, -74.2348684)",40.7323235,-74.2348684
3612,"West Caldwell Township, New Jersey","(40.8409329, -74.3018154)",40.8409329,-74.3018154
3613,"Logan Township, New Jersey","(39.794784199999995, -75.34883103965379)",39.7947842,-75.34883104
3614,"Woolwich Township, New Jersey","(39.741175, -75.34835656769522)",39.741175,-75.34835657
3615,"Readington Township, New Jersey","(40.5687141, -74.7376619)",40.5687141,-74.7376619
3616,"Allenhurst, New Jersey","(40.2362237, -74.0006926)",40.2362237,-74.0006926
3617,"Oceanport, New Jersey","(40.3181663, -74.0151382)",40.3181663,-74.0151382
3618,"Shrewsbury, New Jersey","(40.3295547, -74.0615285)",40.3295547,-74.0615285
3619,"Union Beach, New Jersey","(40.4464962, -74.1781988)",40.4464962,-74.1781988
3620,"Mendham, New Jersey","(40.7759334, -74.6007142)",40.7759334,-74.6007142
3621,"Pequannock Township, New Jersey","(40.962732700000004, -74.30506993003749)",40.9627327,-74.30506993
3622,"Toms River Township, New Jersey","(39.9435685, -74.173707)",39.9435685,-74.173707
3623,"Totowa, New Jersey","(40.9050988, -74.2098679)",40.9050988,-74.2098679
3624,"West Milford Township, New Jersey","(41.1312069, -74.3673748)",41.1312069,-74.3673748
3625,"Salem, New Jersey","(39.5717796, -75.4671423)",39.5717796,-75.4671423
3626,"Fanwood, New Jersey","(40.6409041, -74.3836416)",40.6409041,-74.3836416
3627,"Belen, New Mexico","(34.6627495, -106.7762)",34.6627495,-106.7762
3628,"Carlin, Nevada","(40.7131339, -116.1061645)",40.7131339,-116.1061645
3629,"Salamanca, New York","(42.1578412, -78.7150311)",42.1578412,-78.7150311
3630,"Hyde Park Town, New York","(41.7847232, -73.9332461)",41.7847232,-73.9332461
3631,"Batavia, New York","(42.9980144, -78.1875515)",42.9980144,-78.1875515
3632,"Livingston, New York","(42.7360902, -77.7781416)",42.7360902,-77.7781416
3633,"Rockville Centre Village, New York","(40.6574186, -73.6450664)",40.6574186,-73.6450664
3634,"Schodack Town, New York","(42.5302285, -73.68083538797035)",42.5302285,-73.68083539
3635,"St. Lawrence, New York","(44.1772711, -76.1677157)",44.1772711,-76.1677157
3636,"Liberty Village, New York","(43.6388951, -79.4179531)",43.6388951,-79.4179531
3637,"Owego Village, New York","(42.1033319, -76.2621898)",42.1033319,-76.2621898
3638,"Ithaca College, New York","(42.4195902, -76.49849198397996)",42.4195902,-76.49849198
3639,"Ulster, New York","(41.8689317, -74.2618518)",41.8689317,-74.2618518
3640,"Sleepy Hollow Village, New York","(41.0908585, -73.86807111312757)",41.0908585,-73.86807111
3641,"Nelsonville, Ohio","(39.458681, -82.2318156)",39.458681,-82.2318156
3642,"Auglaize, Ohio","(40.5942186, -84.2641951)",40.5942186,-84.2641951
3643,"Wapakoneta, Ohio","(40.5678265, -84.1935594)",40.5678265,-84.1935594
3644,"Fairfield, Ohio","(39.3458953, -84.5605031)",39.3458953,-84.5605031
3645,"Clermont, Ohio","(39.07414, -84.182549)",39.07414,-84.182549
3646,"Union Township, Clermont County, Ohio","(39.10610305, -84.26309407579143)",39.10610305,-84.26309408
3647,"East Palestine, Ohio","(40.8339509, -80.5403469)",40.8339509,-80.5403469
3648,"Bucyrus, Ohio","(40.8083909, -82.9754649)",40.8083909,-82.9754649
3649,"Solon, Ohio","(41.3897764, -81.4412259)",41.3897764,-81.4412259
3650,"Fairborn, Ohio","(39.8208998, -84.0193858)",39.8208998,-84.0193858
3651,"North College Hill, Ohio","(39.2183911, -84.5507778)",39.2183911,-84.5507778
3652,"Colerain Township, Ohio","(39.2584995, -84.63292616794756)",39.2584995,-84.63292617
3653,"Hancock, Ohio","(41.1553294, -83.8518834)",41.1553294,-83.8518834
3654,"Napoleon, Ohio","(41.3922726, -84.1252243)",41.3922726,-84.1252243
3655,"Jackson, Ohio","(39.0520169, -82.6365537)",39.0520169,-82.6365537
3656,"Knox, Ohio","(40.4575613, -82.5293316)",40.4575613,-82.5293316
3657,"Mentor-on-the-Lake, Ohio","(41.705045, -81.360386)",41.705045,-81.360386
3658,"Bellefontaine, Ohio","(40.3611643, -83.7596557)",40.3611643,-83.7596557
3659,"Struthers, Ohio","(41.0543573, -80.5917707)",41.0543573,-80.5917707
3660,"Medina, Ohio","(41.1383878, -81.8637474)",41.1383878,-81.8637474
3661,"Meigs, Ohio","(39.6903496, -81.7751327)",39.6903496,-81.7751327
3662,"Celina, Ohio","(40.5489358, -84.5702338)",40.5489358,-84.5702338
3663,"Troy, Ohio","(40.0394982, -84.2032767)",40.0394982,-84.2032767
3664,"Vandalia, Ohio","(39.8906122, -84.1988308)",39.8906122,-84.1988308
3665,"Butler Township, Ohio","(40.353521099999995, -82.23600856217877)",40.3535211,-82.23600856
3666,"Kent, Ohio","(41.1536674, -81.357886)",41.1536674,-81.357886
3667,"Kent State University, Ohio","(41.1443525, -81.33982832845717)",41.1443525,-81.33982833
3668,"Barberton, Ohio","(41.012833, -81.6051221)",41.012833,-81.6051221
3669,"Twinsburg, Ohio","(41.3125552, -81.4401129)",41.3125552,-81.4401129
3670,"Trumbull, Ohio","(41.6781106, -80.9539818)",41.6781106,-80.9539818
3671,"Richwood, Ohio","(40.4264477, -83.2968631)",40.4264477,-83.2968631
3672,"Wayne, Ohio","(41.3014415, -83.4735393)",41.3014415,-83.4735393
3673,"North Baltimore, Ohio","(41.1828302, -83.6782668)",41.1828302,-83.6782668
3674,"Elk City, Oklahoma","(35.4119944, -99.4042592)",35.4119944,-99.4042592
3675,"Sayre, Oklahoma","(35.291162, -99.6400969)",35.291162,-99.6400969
3676,"Southwestern Oklahoma State University, Oklahoma","(35.5350521, -98.7075747)",35.5350521,-98.7075747
3677,"Grady, Oklahoma","(34.0203753, -97.6655824)",34.0203753,-97.6655824
3678,"Altus, Oklahoma","(34.6381255, -99.3339754)",34.6381255,-99.3339754
3679,"Tonkawa, Oklahoma","(36.6783679, -97.3100442)",36.6783679,-97.3100442
3680,"Tonkawa Tribal, Oklahoma","(None, None)",,
3681,"Talihina, Oklahoma","(34.7514893, -95.0480162)",34.7514893,-95.0480162
3682,"Blanchard, Oklahoma","(35.1378428, -97.6580904)",35.1378428,-97.6580904
3683,"Muskogee, Oklahoma","(35.7478769, -95.3696909)",35.7478769,-95.3696909
3684,"University of Central Oklahoma, Oklahoma","(35.655730250000005, -97.47032859449375)",35.65573025,-97.47032859
3685,"Fairfax, Oklahoma","(36.5736587, -96.7041988)",36.5736587,-96.7041988
3686,"Cleveland, Oklahoma","(36.3099921, -96.4641953)",36.3099921,-96.4641953
3687,"Roger Mills, Oklahoma","(35.6596782, -99.6898104)",35.6596782,-99.6898104
3688,"Broken Arrow, Oklahoma","(36.0525993, -95.7908195)",36.0525993,-95.7908195
3689,"Skiatook, Oklahoma","(36.3684245, -96.0013847)",36.3684245,-96.0013847
3690,"Owasso, Oklahoma","(36.2661536, -95.8549456)",36.2661536,-95.8549456
3691,"Wagoner, Oklahoma","(35.9595442, -95.3694116)",35.9595442,-95.3694116
3692,"Winston, Oregon","(43.1220119, -123.4131383)",43.1220119,-123.4131383
3693,"Richland Township, Cambria County, Pennsylvania","(40.296786, -78.8385361210687)",40.296786,-78.83853612
3694,"Ferguson Township, Pennsylvania","(40.75296, -77.92825007465947)",40.75296,-77.92825007
3695,"Lancaster , Pennsylvania","(40.03813, -76.3056686)",40.03813,-76.3056686
3696,"Lewistown, Pennsylvania","(40.5992395, -77.571382)",40.5992395,-77.571382
3697,"Lehigh University, Pennsylvania","(40.6068028, -75.3782488)",40.6068028,-75.3782488
3698,"Northern York County Regional, Pennsylvania","(40.008614, -76.8283109)",40.008614,-76.8283109
3699,"Central Falls, Rhode Island","(41.8906553, -71.3922785)",41.8906553,-71.3922785
3700,"Salley, South Carolina","(33.565705, -81.3034371)",33.565705,-81.3034371
3701,"Belton, South Carolina","(34.5228881, -82.4942948)",34.5228881,-82.4942948
3702,"Honea Path, South Carolina","(34.4478795, -82.39460552446766)",34.4478795,-82.39460552
3703,"Manning, South Carolina","(33.6952318, -80.2107811)",33.6952318,-80.2107811
3704,"Lancaster, South Carolina","(34.7204257, -80.7709015)",34.7204257,-80.7709015
3705,"Chapin, South Carolina","(34.1659795, -81.3498212)",34.1659795,-81.3498212
3706,"Orangeburg, South Carolina","(33.4918203, -80.8556476)",33.4918203,-80.8556476
3707,"Clover, South Carolina","(35.1112886, -81.2265808)",35.1112886,-81.2265808
3708,"Clay, South Dakota","(42.9190617, -96.9712933)",42.9190617,-96.9712933
3709,"Vermillion, South Dakota","(42.7795273, -96.929101)",42.7795273,-96.929101
3710,"Corson, South Dakota","(45.7135207, -101.1797766)",45.7135207,-101.1797766
3711,"Mitchell, South Dakota","(43.70953, -98.025379)",43.70953,-98.025379
3712,"Hutchinson, South Dakota","(43.3271413, -97.7396791)",43.3271413,-97.7396791
3713,"Jerauld, South Dakota","(44.0797601, -98.6182042)",44.0797601,-98.6182042
3714,"Marshall, South Dakota","(45.7619018, -97.6300108)",45.7619018,-97.6300108
3715,"Sully, South Dakota","(44.7173891, -100.0690149)",44.7173891,-100.0690149
3716,"Division of Criminal Investigation, South Dakota","(None, None)",,
3717,"Elizabethton, Tennessee","(36.3487196, -82.2106876)",36.3487196,-82.2106876
3718,"Ashland City, Tennessee","(36.2742207, -87.0641699)",36.2742207,-87.0641699
3719,"Tullahoma, Tennessee","(35.3620235, -86.2094342)",35.3620235,-86.2094342
3720,"Burns, Tennessee","(36.0533943, -87.3125104)",36.0533943,-87.3125104
3721,"Somerville, Tennessee","(35.2436969, -89.3500714)",35.2436969,-89.3500714
3722,"Rossville, Tennessee","(35.0484242, -89.5425786)",35.0484242,-89.5425786
3723,"Greeneville, Tennessee","(36.1631575, -82.8309861)",36.1631575,-82.8309861
3724,"Collegedale, Tennessee","(35.0531301, -85.0502277)",35.0531301,-85.0502277
3725,"Henry, Tennessee","(36.2039488, -88.4197705)",36.2039488,-88.4197705
3726,"Paris, Tennessee","(36.3019461, -88.3258578)",36.3019461,-88.3258578
3727,"Hickman, Tennessee","(36.1439464, -85.9405429)",36.1439464,-85.9405429
3728,"Lake, Tennessee","(35.91603, -85.07622937350166)",35.91603,-85.07622937
3729,"Gates, Tennessee","(35.8384082, -89.4061836)",35.8384082,-89.4061836
3730,"Fayetteville, Tennessee","(35.1520267, -86.5705509)",35.1520267,-86.5705509
3731,"Athens, Tennessee","(35.4428864, -84.5930113)",35.4428864,-84.5930113
3732,"Marion, Tennessee","(36.5403579, -83.927144)",36.5403579,-83.927144
3733,"Wartburg, Tennessee","(36.1047979, -84.597162)",36.1047979,-84.597162
3734,"Monterey, Tennessee","(36.1475642, -85.2683022)",36.1475642,-85.2683022
3735,"Graysville, Tennessee","(35.4470137, -85.0844001)",35.4470137,-85.0844001
3736,"Oliver Springs, Tennessee","(36.0446642, -84.3443593)",36.0446642,-84.3443593
3737,"Gatlinburg, Tennessee","(35.714259, -83.5101638)",35.714259,-83.5101638
3738,"Southwest Tennessee Community College, Tennessee","(35.1616518, -89.8663467)",35.1616518,-89.8663467
3739,"Christian Brothers University, Tennessee","(35.128969600000005, -89.98022497909133)",35.1289696,-89.98022498
3740,"Millersville, Tennessee","(36.3910445, -86.713274095798)",36.3910445,-86.7132741
3741,"Munford, Tennessee","(35.44925, -89.8150833)",35.44925,-89.8150833
3742,"Jonesborough, Tennessee","(36.2946235, -82.47962121096344)",36.2946235,-82.47962121
3743,"Brownwood, Texas","(31.7070026, -98.9831022)",31.7070026,-98.9831022
